0,87
76,84
153,84
230,88
306,80
383,91
460,76
536,90
613,81
690,84
767,87
849,80
926,91
1003,76
1079,90
1156,81
1259,98
1342,89
1425,101
1508,91
1591,87
1685,97
1776,84
1876,81
1966,94
2057,86
2126,84
2210,66
2303,83
2396,78
2489,73
2579,86
2669,80
2763,76
2863,86
2954,87
3044,77
3125,88
3205,81
3296,100
3386,86
3479,77
3568,77
3655,90
3748,81
3848,77
3935,91
4027,81
4108,80
4181,88
4273,102
4365,92
4455,85
4545,97
4638,88
4728,83
4824,95
4916,87
5006,80
5100,90
5176,83
5271,81
5359,94
5449,83
5543,81
5634,63
5724,77
5822,81
5912,73
6002,81
6095,87
6172,76
6261,86
6351,87
6438,77
6528,95
6620,93
6710,98
6804,85
6899,86
6993,95
7083,85
7149,88
7246,88
7337,78
7427,87
7517,90
7609,76
7700,73
7790,94
7890,84
7984,85
8075,94
8144,80
8232,87
8322,87
8411,78
8501,90
8595,69
8685,83
8774,70
8877,74
8963,88
9058,80
9129,83
9212,84
9301,74
9397,86
9486,86
9578,76
9669,85
9759,88
9859,80
9948,84
10037,90
10118,77
10194,91
10279,83
10369,81
10454,93
10546,80
10637,81
10730,91
10823,80
10915,80
11009,91
11099,84
11174,85
11269,91
11358,80
11448,83
11538,91
11632,81
11721,81
11822,91
11911,83
12001,80
12095,94
12171,79
12256,83
12346,90
12435,77
12525,87
12619,90
12709,77
12798,87
12901,91
12995,80
13085,83
13149,90
13242,77
13328,90
13418,87
13508,79
13597,91
13691,85
13781,77
13881,87
13972,88
14059,77
14134,91
14219,78
14310,80
14404,93
14494,83
14584,81
14677,92
14767,84
14864,78
14954,91
15044,84
15125,81
15205,90
15297,78
15386,84
15476,90
15566,74
15659,84
15749,91
15845,80
15934,84
16024,91
16112,79
16189,87
16281,87
16375,76
16465,87
16555,87
16644,77
16734,90
16832,87
16926,77
17016,84
17103,88
17177,81
17271,90
17362,86
17449,80
17544,91
17635,85
17730,77
17825,90
17918,87
18011,77
18101,86
18177,84
18271,77
18366,90
18457,86
18548,77
18638,88
18727,86
18823,78
18916,86
19009,88
19099,77
19175,93
19269,86
19359,78
19453,88
19544,87
19634,77
19723,88
19822,84
19911,76
20001,88
20088,86
20152,84
20249,91
20340,81
20430,81
20520,91
20614,81
20705,81
20798,91
20893,84
20983,80
21077,91
21143,81
21233,84
21322,88
21409,76
21501,87
21595,88
21685,76
21779,84
21877,91
21968,80
22060,84
22132,91
