0,305
77,376
153,282
229,284
306,377
389,339
466,387
544,308
621,380
698,328
775,352
852,349
929,325
1006,368
1084,302
1161,380
1254,338
1338,325
1453,376
1537,349
1623,314
1716,376
1810,345
1907,305
2004,356
2097,366
2163,315
2244,362
2331,309
2440,318
2535,367
2632,348
2727,296
2824,350
2919,366
3012,308
3109,332
3190,375
3270,299
3374,355
3471,379
3564,324
3661,319
3754,380
3848,342
3946,308
4038,362
4136,359
4206,315
4295,379
4398,345
4496,304
4588,352
4682,253
4774,332
4873,308
4964,294
5059,348
5151,339
5226,321
5315,373
5419,335
5510,302
5609,401
5701,363
5799,407
5888,355
5980,332
6073,379
6164,346
6239,342
6334,380
6433,339
6528,318
6622,363
6718,259
6809,336
6901,376
6992,367
7087,306
7175,349
7252,345
7346,314
7441,373
7526,348
7616,311
7709,258
7798,301
7890,343
7978,282
8072,324
8162,362
8237,299
8330,352
8433,360
8524,305
8614,336
8704,360
8788,294
8882,346
8973,362
9063,434
9157,370
9233,362
9327,390
9423,345
9513,335
9607,386
9697,336
9786,321
9876,380
9969,271
10059,314
10148,265
10213,356
10309,312
10405,304
10499,366
10589,339
10686,305
10776,366
10867,345
10956,302
11046,394
11136,386
11205,289
11295,339
11390,296
11484,314
11575,369
11668,311
11759,324
11849,379
11939,318
12033,421
12125,339
12197,400
12286,346
12381,332
12474,373
12563,341
12657,310
12747,369
12841,352
12931,307
13021,370
13115,349
13193,314
13276,372
13375,314
13466,317
13563,379
13654,341
13744,308
13834,373
13928,345
14014,311
14103,380
14184,335
14265,341
14363,372
14452,318
14546,331
14636,376
14726,321
14820,331
14910,380
15007,323
15098,319
15184,380
15264,304
15364,338
15456,380
15547,322
15638,325
15731,376
15822,328
15912,321
16006,379
16098,334
16184,319
16263,369
16361,311
16455,326
16546,379
16638,325
16732,322
16826,377
16916,339
17009,318
17099,372
17181,332
17259,339
17358,369
17450,321
17540,329
17634,377
17728,322
17822,317
17912,377
18002,322
18096,319
18182,379
18262,312
18362,336
18453,382
18545,328
18636,321
18726,379
18818,328
18908,321
18998,379
19088,323
19176,319
19256,367
19348,304
19444,329
19535,375
19625,312
19719,331
19809,380
19898,312
19993,326
20082,379
20168,325
20241,362
20334,357
20429,301
20516,353
20605,356
20698,298
20789,351
20881,352
20971,296
21066,352
21160,366
21236,311
21329,359
21426,359
21515,296
21608,358
21699,362
21788,299
21877,356
21972,362
22058,295
22148,352
22215,335
22311,319
22411,370
22500,346
22594,309
22684,362
22778,346
22867,302
22957,362
23051,352
23141,304
23210,383
23302,312
23401,318
23493,379
23584,336
23675,314
23764,382
23858,339
23948,314
24045,372
24137,346
24204,329
24291,366
24389,318
24483,328
24574,382
24664,319
24758,325
24848,379
24945,329
25037,315
25129,376
25198,321
25287,339
25383,376
25475,318
25565,338
25657,375
25751,319
25845,325
25935,382
