0,159
82,118
159,132
236,165
312,138
389,107
466,151
542,161
619,122
696,129
773,163
849,142
-730543167,108
999,145
1082,163
1175,123
1258,139
1338,172
1436,131
1512,121
1601,165
1695,131
1787,128
1876,166
1958,135
2033,165
2133,149
2224,132
2316,155
2407,149
2497,129
2586,155
2679,145
2770,128
2859,111
2945,122
3020,131
3116,169
3206,146
3298,141
3390,104
3481,131
3572,139
3662,117
3752,142
3841,144
3935,122
4011,156
4111,146
4207,125
4297,144
4387,146
4480,179
4572,153
4661,142
4753,166
4847,145
4936,138
5012,159
5111,139
5200,138
5292,159
5381,136
5471,141
5565,159
5655,117
5742,124
5838,111
5929,136
6005,134
6101,170
6191,141
6278,153
6370,159
6460,131
6554,145
6644,104
6733,145
6823,153
6917,160
6983,135
7077,155
7171,148
7262,131
7354,152
7448,148
7541,127
7635,148
7725,149
7814,128
7904,148
7976,144
8064,136
8155,159
8250,139
8341,135
8431,159
8520,141
8610,135
8700,159
8793,139
8883,133
8964,159
9050,124
9141,142
9238,155
9330,135
9421,138
9511,155
9605,138
9694,138
9784,156
9878,138
9964,137
10050,152
10144,132
10235,139
10325,153
10416,132
10505,141
10595,156
10689,132
10779,139
10869,156
10954,134
11031,149
11131,105
11221,138
11312,125
11402,124
11492,152
11586,135
11680,129
11769,155
11863,139
11948,129
12021,152
12124,169
12214,162
12303,136
12398,155
12487,155
12577,131
12668,151
12758,149
12852,127
12938,148
13012,138
13112,132
13203,105
13294,153
13386,138
13475,159
13569,147
13659,131
13746,158
13838,142
13928,134
13992,158
14093,117
14183,122
14277,112
14367,139
14456,139
14543,124
14633,151
14726,142
14816,128
14906,155
14975,135
15063,142
15157,155
15247,129
15336,139
15427,152
15520,173
15610,159
15700,139
15791,162
15881,149
15962,139
16048,158
16140,138
16229,139
16322,155
16413,118
16504,127
16594,111
16683,139
16773,138
16867,121
16951,146
17027,131
17124,131
17218,155
17305,135
17399,131
17488,162
17578,165
17672,117
17763,145
17853,135
17944,126
18018,149
18123,137
18212,134
18302,156
18392,136
18485,176
18576,141
18666,158
18754,156
18848,131
18935,149
19009,144
19105,132
19196,159
19285,144
19378,131
19470,156
19561,146
19651,128
19741,155
19835,145
19926,128
19992,159
20093,139
20180,138
20270,159
20359,132
20453,138
20543,158
20633,138
20727,138
20816,159
20907,138
20979,145
21073,146
21162,125
21252,146
21342,151
21431,126
21518,149
21610,148
21704,124
21794,145
21884,149
21964,129
22051,158
22142,143
22231,131
22321,155
22415,141
22506,131
22599,158
22686,139
22779,134
22871,155
22952,142
23026,145
23125,156
23214,131
23304,142
23398,158
23488,135
23578,139
23672,155
23761,131
23855,138
23941,158
24015,130
24115,145
24205,152
24296,124
24386,146
24480,152
24571,128
24660,143
24750,152
24840,125
24934,144
25010,146
25110,124
25204,148
25296,152
25387,128
25476,144
25568,151
25656,128
25750,142
25840,152
25927,124
25991,159
26092,142
26179,135
26270,158
26360,141
26454,134
26543,155
26633,139
26727,131
26816,156
26906,139
26978,142
27069,149
27156,125
27243,146
27335,149
27420,127
27510,152
27604,149
27694,125
27788,148
27879,149
27961,125
28048,156
28135,142
28227,134
28317,155
28407,141
28501,131
28590,153
28684,145
28774,131
28864,155
28949,145
29022,143
29126,158
29216,136
29310,135
29400,159
29492,138
29583,134
29673,156
29767,139
29857,132
29947,156
30024,131
30124,138
30215,161
30306,139
30396,135
30487,159
30580,138
30669,135
30759,159
30853,139
30939,135
31013,151
31113,131
31204,141
31295,155
31387,132
31479,139
31568,156
31662,134
31753,137
31845,156
31931,134
32007,152
32103,149
32197,128
32284,149
32375,152
32469,126
32560,144
32650,152
32742,125
32833,143
32923,152
32989,132
33092,149
33182,145
33271,129
33365,149
33455,148
33542,131
33632,153
33724,142
33815,129
33905,152
33974,136
34062,142
34156,155
34246,132
34336,141
34425,152
34519,132
