0,221
77,200
154,199
232,211
309,182
386,221
470,182
547,201
624,199
702,186
779,213
856,173
934,216
1011,183
1112,193
1177,145
1259,175
1342,159
1447,185
1527,203
1619,170
1709,185
1799,209
1894,182
1986,189
2077,216
2149,243
2234,196
2329,199
2425,227
2518,203
2608,177
2699,213
2793,204
2885,172
2976,203
3069,203
3147,173
3228,132
3320,210
3419,185
3511,210
3602,206
3692,178
3787,203
3878,207
3969,169
4062,200
4141,144
4219,182
4311,156
4401,183
4501,209
4595,180
4685,179
4778,216
4870,187
4958,180
5048,216
5133,193
5209,200
5296,207
5387,170
5483,189
5574,212
5666,182
5758,186
5849,218
5940,183
6030,189
6118,218
6193,172
6278,197
6370,207
6476,186
6568,186
6658,218
6748,189
6838,187
6930,218
7020,185
7109,186
7174,210
7271,168
7361,200
7461,214
7554,182
7644,190
7739,217
7830,190
7921,182
8011,217
8099,189
8169,197
8262,205
8352,167
8443,199
8536,213
8626,179
8717,196
8810,214
8905,182
8995,184
9086,216
9158,176
9248,199
9340,209
9435,172
9530,189
9620,217
9710,179
9805,186
9895,217
9985,186
10079,183
10157,221
10241,168
10336,193
10432,214
10522,183
10616,185
10706,217
10796,192
10887,182
10974,217
11067,185
11146,187
11227,207
11319,173
11409,195
11510,216
11602,186
11692,183
11782,216
11877,192
11967,179
12058,218
12139,193
12217,192
12308,208
12403,179
12499,184
12594,218
12684,190
12775,182
12865,217
12960,193
13052,176
13133,214
13208,169
13303,189
13394,217
13494,193
13585,179
13679,210
13770,197
13860,177
13955,207
14045,203
14132,173
14208,216
14294,183
14386,186
14482,214
14577,195
14667,178
14759,211
14850,200
14940,177
15034,206
15121,203
15196,189
15286,216
15372,186
15473,182
15560,218
15653,194
15745,180
15835,214
15923,193
16016,180
16110,207
16187,189
16275,183
16363,217
16460,194
16552,179
16643,216
16736,193
16827,176
16918,207
17008,200
17103,170
17170,220
17263,182
17358,185
17454,210
17549,200
17639,172
17730,207
17824,202
17914,169
18005,200
18095,203
18160,186
18247,214
18339,183
18436,185
18529,214
18621,196
18711,176
18799,214
18892,199
18982,179
19077,207
19155,197
19237,184
19330,217
19429,186
19519,177
19609,214
19704,200
19795,173
19885,204
19976,202
20069,175
20147,211
20228,186
20320,185
20419,217
20511,197
20602,175
20692,212
20785,201
20875,172
20966,208
21061,205
21147,169
21230,210
21322,197
21422,176
21512,200
21603,209
21697,169
21788,194
21878,211
21968,170
22061,192
22148,216
22231,169
22319,200
22421,206
22513,179
22603,189
22693,213
22788,186
22878,186
22969,218
23061,190
23142,187
23220,206
23311,169
23405,195
23502,216
23596,185
23686,186
23780,214
23870,183
23962,182
24052,221
24134,227
24208,199
24301,193
24393,224
24494,149
24584,196
24679,172
24769,230
24857,180
24951,206
25042,146
