0,59
76,74
160,81
236,66
313,68
390,83
467,74
544,60
620,76
697,84
774,67
851,67
928,81
1004,76
-1013913126,62
1158,76
1248,81
1331,67
1395,67
1478,80
1577,71
1659,63
1749,81
1842,71
1931,61
2021,81
2120,71
2209,66
2296,81
2365,77
2457,59
2547,78
2638,77
2732,60
2826,80
2920,76
3010,60
3103,80
3197,73
3289,60
3358,80
3447,77
3539,61
3628,78
3718,80
3808,62
3902,78
3991,79
4087,60
4177,78
4267,78
4348,63
4428,73
4522,83
4612,63
4706,76
4797,81
4887,63
4981,77
5071,80
5171,60
5261,78
5342,81
5419,63
5509,73
5598,86
5691,64
5780,73
5874,84
5964,64
6054,73
6152,81
6241,64
6330,74
6405,87
6490,67
6580,69
6674,87
6765,69
6854,70
6944,86
7033,70
7133,70
7225,86
7317,66
7393,70
7480,84
7570,70
7661,66
7755,85
7845,70
7934,67
8028,84
8126,70
8220,70
8306,85
8371,73
8467,63
8559,84
8648,71
8741,63
8832,84
8922,70
9008,66
9104,81
9197,70
9289,64
9358,83
9449,74
9540,60
9631,80
9721,75
9815,60
9905,81
9999,74
10094,60
10188,81
10279,73
10357,63
10440,77
10534,77
10624,60
10713,80
10803,77
10897,60
10987,80
11077,77
11175,60
11265,80
11346,77
11426,60
11517,77
11607,80
11697,60
11789,76
11880,80
11970,61
12059,76
12158,77
12249,60
12335,77
12414,81
12506,63
12597,76
12691,81
12778,63
12873,74
12965,80
13059,63
13154,77
13248,78
13334,61
13414,76
13505,81
13597,63
13688,74
13778,81
13867,64
13961,76
14051,81
14149,61
14239,76
14327,80
14401,66
14495,73
14585,84
14672,64
14763,73
14853,85
14941,77
15028,74
15131,81
15221,77
15315,70
15391,84
15480,73
15570,74
15660,81
15747,66
15841,67
15935,61
16026,80
16124,73
16213,84
16303,66
16372,70
16468,63
16560,75
16649,71
16739,67
16833,78
16923,74
17012,70
17111,79
17204,77
17296,67
17365,84
17457,84
17546,84
17636,73
17728,81
17818,80
17908,70
18002,80
18100,80
18192,70
18282,76
18353,79
18438,70
18528,83
18618,63
18707,69
18801,60
18893,81
18983,74
19072,59
19172,83
19264,73
19345,84
19425,73
19516,74
19607,57
19697,77
19789,76
19880,84
19970,74
20059,76
20158,83
20245,73
20328,74
20404,77
20488,69
20579,80
20669,76
20763,70
20854,78
20944,76
21034,70
21134,77
21223,77
21317,68
21393,83
21487,74
21574,71
21668,80
21758,76
21852,70
21943,79
22033,76
22132,67
22222,78
22316,78
22392,73
22486,78
22576,74
22663,70
22757,80
22847,77
22941,70
23030,78
23128,78
23221,67
23311,77
23387,75
23472,70
23562,83
23656,73
23746,71
23835,81
23922,73
24015,73
24115,56
24209,66
24299,74
24368,66
24463,74
24550,73
24642,67
24730,77
24820,73
24910,70
25004,83
25102,83
25193,87
25283,77
25355,81
25444,78
25535,70
25625,78
25715,77
25809,69
25900,77
25990,80
26080,69
26178,64
26267,81
26348,70
26428,81
26520,76
26609,70
26699,81
26789,74
26883,70
26973,81
27063,63
27161,73
27248,63
27337,70
27418,73
27512,63
27603,73
27693,76
27783,66
27877,76
27966,77
28056,67
28154,74
28244,77
28325,67
28398,83
28490,84
28581,86
28673,73
28763,80
28857,81
28948,71
29037,78
29137,81
29229,71
29318,74
29394,63
29487,73
29576,66
29665,67
29760,79
29849,70
29939,70
30033,80
30131,74
30222,70
30310,80
30384,70
30471,84
30561,79
30650,63
30745,70
30834,77
30921,64
31011,73
31104,77
31197,68
31287,76
31359,78
31448,88
31539,77
31629,80
31719,83
31812,71
31902,76
31996,81
32094,73
32181,76
32275,81
32353,73
32437,77
32528,80
32621,67
32710,77
32797,76
32882,69
